"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\surtido_cf\.github\workflows\issues.yml", "YAML", 0, 0, 0, 0, 0, 0, 9, 0, 4, 13
"c:\xampp\htdocs\surtido_cf\.github\workflows\pull-requests.yml", "YAML", 0, 0, 0, 0, 0, 0, 9, 0, 4, 13
"c:\xampp\htdocs\surtido_cf\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"c:\xampp\htdocs\surtido_cf\.github\workflows\update-changelog.yml", "YAML", 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"c:\xampp\htdocs\surtido_cf\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\xampp\htdocs\surtido_cf\CHANGELOG.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 14, 33
"c:\xampp\htdocs\surtido_cf\README.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 9, 11, 48
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 6, 7, 41
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 3, 6, 25
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 3, 4, 22
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 14, 8, 62
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 11, 7, 45
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 8, 9, 51
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 3, 6, 28
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\Controller.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\ProductController.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 2, 11, 61
"c:\xampp\htdocs\surtido_cf\app\Http\Controllers\ProfileController.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 9, 14, 61
"c:\xampp\htdocs\surtido_cf\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 21, 14, 86
"c:\xampp\htdocs\surtido_cf\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\xampp\htdocs\surtido_cf\app\Models\User.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 16, 7, 48
"c:\xampp\htdocs\surtido_cf\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\xampp\htdocs\surtido_cf\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\surtido_cf\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\surtido_cf\bootstrap\app.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\xampp\htdocs\surtido_cf\bootstrap\providers.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\surtido_cf\composer.json", "JSON", 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"c:\xampp\htdocs\surtido_cf\composer.lock", "JSON", 0, 0, 0, 0, 8212, 0, 0, 0, 1, 8213
"c:\xampp\htdocs\surtido_cf\config\app.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 82, 23, 127
"c:\xampp\htdocs\surtido_cf\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\surtido_cf\config\cache.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 34, 18, 108
"c:\xampp\htdocs\surtido_cf\config\database.php", "PHP", 0, 103, 0, 0, 0, 0, 0, 41, 24, 168
"c:\xampp\htdocs\surtido_cf\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\surtido_cf\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 33, 21, 133
"c:\xampp\htdocs\surtido_cf\config\mail.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 42, 18, 112
"c:\xampp\htdocs\surtido_cf\config\queue.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 44, 17, 113
"c:\xampp\htdocs\surtido_cf\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\surtido_cf\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 160, 35, 218
"c:\xampp\htdocs\surtido_cf\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 14, 6, 45
"c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 6, 6, 50
"c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\xampp\htdocs\surtido_cf\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\xampp\htdocs\surtido_cf\database\seeders\DatabaseSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\surtido_cf\package-lock.json", "JSON", 0, 0, 0, 0, 2431, 0, 0, 0, 1, 2432
"c:\xampp\htdocs\surtido_cf\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\xampp\htdocs\surtido_cf\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\xampp\htdocs\surtido_cf\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\surtido_cf\public\css\estilos.css", "CSS", 0, 0, 0, 258, 0, 0, 0, 4, 116, 378
"c:\xampp\htdocs\surtido_cf\public\index.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 3, 6, 18
"c:\xampp\htdocs\surtido_cf\public\js\update_factura.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\xampp\htdocs\surtido_cf\public\js\update_nota.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\xampp\htdocs\surtido_cf\resources\css\app.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\js\app.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\xampp\htdocs\surtido_cf\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\xampp\htdocs\surtido_cf\resources\views\auth\confirm-password.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\xampp\htdocs\surtido_cf\resources\views\auth\forgot-password.blade.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\surtido_cf\resources\views\auth\login.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\xampp\htdocs\surtido_cf\resources\views\auth\register.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\xampp\htdocs\surtido_cf\resources\views\auth\reset-password.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"c:\xampp\htdocs\surtido_cf\resources\views\auth\verify-email.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\xampp\htdocs\surtido_cf\resources\views\components\application-logo.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\auth-session-status.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\surtido_cf\resources\views\components\danger-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\surtido_cf\resources\views\components\dropdown.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\xampp\htdocs\surtido_cf\resources\views\components\input-error.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\surtido_cf\resources\views\components\input-label.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\surtido_cf\resources\views\components\modal.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 2, 4, 79
"c:\xampp\htdocs\surtido_cf\resources\views\components\nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\surtido_cf\resources\views\components\primary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\responsive-nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\surtido_cf\resources\views\components\secondary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\surtido_cf\resources\views\components\text-input.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\surtido_cf\resources\views\dashboard.blade.php", "PHP", 0, 308, 0, 0, 0, 0, 0, 15, 71, 394
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\app.blade.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\guest.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\surtido_cf\resources\views\layouts\navigation.blade.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 13, 111
"c:\xampp\htdocs\surtido_cf\resources\views\mercado.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\surtido_cf\resources\views\profile\edit.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 11, 56
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-password-form.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\xampp\htdocs\surtido_cf\resources\views\welcome.blade.php", "PHP", 0, 151, 0, 0, 0, 0, 0, 0, 22, 173
"c:\xampp\htdocs\surtido_cf\routes\auth.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 17, 60
"c:\xampp\htdocs\surtido_cf\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\surtido_cf\routes\web.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 1, 8, 32
"c:\xampp\htdocs\surtido_cf\tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 15, 55
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 16, 59
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 13, 45
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 22, 74
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 11, 52
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\xampp\htdocs\surtido_cf\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\xampp\htdocs\surtido_cf\tests\Feature\ProfileTest.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 24, 100
"c:\xampp\htdocs\surtido_cf\tests\TestCase.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\surtido_cf\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\surtido_cf\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 49, 2677, 64, 262, 10728, 31, 73, 758, 943, 15585